protein,feature_set,model,true,predicted,count
PB1_polymerase,ptm_plus_strain_all,LogisticReg,Human,Human,20
PB1_polymerase,ptm_plus_strain_all,LogisticReg,Human,Swine,77
PB1_polymerase,ptm_plus_strain_all,LogisticReg,Swine,Avian,4
PB1_polymerase,ptm_plus_strain_all,LogisticReg,Swine,Human,5
PB1_polymerase,ptm_plus_strain_all,LogisticReg,Swine,Swine,52
PB1_polymerase,ptm_slow,RandomForest,Avian,Avian,6
PB1_polymerase,ptm_slow,RandomForest,Avian,Human,53
PB1_polymerase,ptm_slow,RandomForest,Avian,Swine,1
PB1_polymerase,ptm_slow,RandomForest,Human,Avian,0
PB1_polymerase,ptm_slow,RandomForest,Human,Human,113
PB1_polymerase,ptm_slow,RandomForest,Human,Swine,1
PB1_polymerase,ptm_slow,RandomForest,Swine,Avian,1
PB1_polymerase,ptm_slow,RandomForest,Swine,Human,59
PB1_polymerase,ptm_slow,RandomForest,Swine,Swine,1
PB1_polymerase,ptm_plus_strain_slow,RandomForest,Avian,Avian,48
PB1_polymerase,ptm_plus_strain_slow,RandomForest,Avian,Human,8
PB1_polymerase,ptm_plus_strain_slow,RandomForest,Avian,Swine,4
PB1_polymerase,ptm_plus_strain_slow,RandomForest,Human,Avian,15
PB1_polymerase,ptm_plus_strain_slow,RandomForest,Human,Human,22
PB1_polymerase,ptm_plus_strain_slow,RandomForest,Human,Swine,77
PB1_polymerase,ptm_plus_strain_slow,RandomForest,Swine,Avian,4
PB1_polymerase,ptm_plus_strain_slow,RandomForest,Swine,Human,0
PB1_polymerase,ptm_plus_strain_slow,RandomForest,Swine,Swine,57
PB1_polymerase,ptm_slow,LogisticReg,Avian,Avian,6
PB1_polymerase,ptm_slow,LogisticReg,Avian,Human,42
PB1_polymerase,ptm_slow,LogisticReg,Avian,Swine,12
PB1_polymerase,ptm_slow,LogisticReg,Human,Avian,0
PB1_polymerase,ptm_slow,LogisticReg,Human,Human,90
PB1_polymerase,ptm_slow,LogisticReg,Human,Swine,24
PB1_polymerase,ptm_slow,LogisticReg,Swine,Avian,1
PB1_polymerase,ptm_slow,LogisticReg,Swine,Human,48
PB1_polymerase,ptm_slow,LogisticReg,Swine,Swine,12
PB1_polymerase,ptm_plus_strain_slow,LogisticReg,Avian,Avian,48
PB1_polymerase,ptm_plus_strain_slow,LogisticReg,Avian,Human,8
PB1_polymerase,ptm_plus_strain_slow,LogisticReg,Avian,Swine,4
PB1_polymerase,ptm_plus_strain_slow,LogisticReg,Human,Avian,15
PB1_polymerase,ptm_plus_strain_slow,LogisticReg,Human,Human,21
PB1_polymerase,ptm_plus_strain_slow,LogisticReg,Human,Swine,78
PB1_polymerase,ptm_plus_strain_slow,LogisticReg,Swine,Avian,4
PB1_polymerase,ptm_plus_strain_slow,LogisticReg,Swine,Human,0
PB1_polymerase,ptm_plus_strain_slow,LogisticReg,Swine,Swine,57
PB1-F2_protein,strain_only,RandomForest,Avian,Avian,27
PB1-F2_protein,strain_only,RandomForest,Avian,Human,14
PB1-F2_protein,strain_only,RandomForest,Human,Avian,5
PB1-F2_protein,strain_only,RandomForest,Human,Human,17
PB1-F2_protein,strain_only,LogisticReg,Avian,Avian,27
PB1-F2_protein,strain_only,LogisticReg,Avian,Human,14
PB1-F2_protein,strain_only,LogisticReg,Human,Avian,5
PB1-F2_protein,strain_only,LogisticReg,Human,Human,17
PB1-F2_protein,ptm_all,RandomForest,Avian,Avian,34
PB1-F2_protein,ptm_all,RandomForest,Avian,Human,7
PB1-F2_protein,ptm_all,RandomForest,Human,Avian,6
PB1-F2_protein,ptm_all,RandomForest,Human,Human,16
PB1-F2_protein,ptm_plus_strain_all,RandomForest,Avian,Avian,34
PB1-F2_protein,ptm_plus_strain_all,RandomForest,Avian,Human,7
PB1-F2_protein,ptm_plus_strain_all,RandomForest,Human,Avian,4
PB1-F2_protein,ptm_plus_strain_all,RandomForest,Human,Human,18
PB1-F2_protein,ptm_all,LogisticReg,Avian,Avian,36
PB1-F2_protein,ptm_all,LogisticReg,Avian,Human,5
PB1-F2_protein,ptm_all,LogisticReg,Human,Avian,6
PB1-F2_protein,ptm_all,LogisticReg,Human,Human,16
PB1-F2_protein,ptm_plus_strain_all,LogisticReg,Avian,Avian,34
PB1-F2_protein,ptm_plus_strain_all,LogisticReg,Avian,Human,7
PB1-F2_protein,ptm_plus_strain_all,LogisticReg,Human,Avian,6
PB1-F2_protein,ptm_plus_strain_all,LogisticReg,Human,Human,16
PB1-F2_protein,ptm_slow,RandomForest,Avian,Avian,17
PB1-F2_protein,ptm_slow,RandomForest,Avian,Human,24
PB1-F2_protein,ptm_slow,RandomForest,Human,Avian,11
PB1-F2_protein,ptm_slow,RandomForest,Human,Human,11
PB1-F2_protein,ptm_plus_strain_slow,RandomForest,Avian,Avian,26
PB1-F2_protein,ptm_plus_strain_slow,RandomForest,Avian,Human,15
PB1-F2_protein,ptm_plus_strain_slow,RandomForest,Human,Avian,6
PB1-F2_protein,ptm_plus_strain_slow,RandomForest,Human,Human,16
PB1-F2_protein,ptm_slow,LogisticReg,Avian,Avian,25
PB1-F2_protein,ptm_slow,LogisticReg,Avian,Human,16
PB1-F2_protein,ptm_slow,LogisticReg,Human,Avian,17
PB1-F2_protein,ptm_slow,LogisticReg,Human,Human,5
PB1-F2_protein,ptm_plus_strain_slow,LogisticReg,Avian,Avian,28
PB1-F2_protein,ptm_plus_strain_slow,LogisticReg,Avian,Human,13
PB1-F2_protein,ptm_plus_strain_slow,LogisticReg,Human,Avian,8
PB1-F2_protein,ptm_plus_strain_slow,LogisticReg,Human,Human,14
PA_polymerase,strain_only,RandomForest,Avian,Avian,53
PA_polymerase,strain_only,RandomForest,Avian,Human,0
PA_polymerase,strain_only,RandomForest,Avian,Swine,6
PA_polymerase,strain_only,RandomForest,Human,Avian,24
PA_polymerase,strain_only,RandomForest,Human,Human,0
PA_polymerase,strain_only,RandomForest,Human,Swine,104
PA_polymerase,strain_only,RandomForest,Swine,Avian,2
PA_polymerase,strain_only,RandomForest,Swine,Human,0
PA_polymerase,strain_only,RandomForest,Swine,Swine,57
PA_polymerase,strain_only,LogisticReg,Avian,Avian,53
PA_polymerase,strain_only,LogisticReg,Avian,Human,0
PA_polymerase,strain_only,LogisticReg,Avian,Swine,6
PA_polymerase,strain_only,LogisticReg,Human,Avian,24
PA_polymerase,strain_only,LogisticReg,Human,Human,0
PA_polymerase,strain_only,LogisticReg,Human,Swine,104
PA_polymerase,strain_only,LogisticReg,Swine,Avian,2
PA_polymerase,strain_only,LogisticReg,Swine,Human,0
PA_polymerase,strain_only,LogisticReg,Swine,Swine,57
PA_polymerase,ptm_all,RandomForest,Avian,Avian,18
PA_polymerase,ptm_all,RandomForest,Avian,Human,39
PA_polymerase,ptm_all,RandomForest,Avian,Swine,2
