protein,branch_index,rate
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0033724120820762937
NP_protein,NA,0
NP_protein,NA,0.0036339728096475713
NP_protein,NA,0.003390761508967793
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.003137665281747624
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.003991743372778511
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0034536467060572863
NP_protein,NA,0.003040543873676082
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.0035656221685850054
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.003150708062403643
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0
NP_protein,NA,0.00302837882593717
NP_protein,NA,0
NP_protein,NA,0.006828428866024287
NP_protein,NA,0
